Country Name,Country Code,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),"Electricity production from renewable sources, excluding hydroelectric (% of total)",Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),GDP (constant 2015 US$),Gross_Capital_gdp_pct,Gross_Capital_growth,Gross capital formation (constant 2015 US$),"Population, total",energy_usage,GDP per capita,Vulnerability Score
Bolivia,BOL,0.6109686811116262,2.4084689477896837,957.5452974945728,91.07664499343873,32235881820.091145,20.6575369400172,6.662958407070192,6656263377.310866,10931796.5,10483408832.071793,2948.45765618871,0.46685430413658896
Bosnia and Herzegovina,BIH,1.2958247620873575,0.0,1670.9558749928613,87.7610224836171,16065083935.736593,22.107727035880828,6.03102251454456,3550206311.7410545,3541685.0,5930122695.678024,4536.819930006654,0.3658850109907842
Botswana,BWA,0.5128383834790653,0.0384689867837173,1718.808702900363,86.34399203689416,13875694328.248264,26.848175893302123,11.97453557502898,3719868548.2829204,2187658.5,3767476093.08833,6344.163607741683,0.4650478429269502
Brazil,BRA,0.2897478488718188,10.987752168039748,1851.2508856432094,78.55376631948764,1835337854330.2327,18.9800183110016,-12.283399893327399,348867000971.99384,200880329.5,372146828115.96155,9137.26970040832,0.38088746138041424
Brunei Darussalam,BRN,0.5970431775971198,0.04600215585568448,6950.172385365184,98.99759423494278,12955764960.031864,31.344571420295786,-12.301551455671776,4059935043.2350936,419481.0,2911156745.9700446,30886.929174476012,0.4136051312294683
Bulgaria,BGR,0.9719805745718418,6.152433582112823,2332.297321720108,84.52296126101346,49977176797.45588,21.253881769389203,4.072299577503287,10619970027.508902,7200964.5,16798129600.978952,6940.785343823008,0.36216776731994155
Burkina Faso,BFA,0.2861733976638351,2.0,526.5154211335213,98.0,11608929642.8299,19.334474454794556,1.4237526063838217,2244686764.4832354,18503474.0,9742364405.543161,627.3508179699887,0.5596898008659051
Burundi,BDI,0.13248156572863307,2.0,526.5154211335213,98.0,3166988010.835209,13.183257703895716,-7.332786431085019,418154506.14526665,10923682.5,5751487291.816377,290.0221553348275,0.5592796936547022
Cabo Verde,CPV,0.44794112262219826,2.0,1147.1338237513926,98.0,1741744000.3990917,32.35359223952887,0.5673433772167797,563302336.3516116,512360.0,587745485.9372635,3399.4524741442037,0.4376552705979515
Cambodia,KHM,0.33195060274475335,0.792810905006635,470.0217647464289,64.314540698772,23361611353.00018,29.942082712098827,10.182789218454658,6994379417.761528,15510011.5,7296440289.869853,1505.9256315566015,0.5114826127289052
Cameroon,CMR,0.28788750202082547,1.1474720901029112,435.58386373531863,68.15892859562017,31346510394.467598,18.98884491411272,4.5341348087812605,5945957425.917566,22411653.5,9794140754.323347,1398.4097408273763,0.49289220960696045
Canada,CAN,0.37307381677607276,5.918816309617048,7764.804128606127,73.64096817151217,1551483054301.834,24.34615050265101,-3.0287816767853855,377700036432.10254,35569282.0,276170415500.0,43618.714876012105,0.28399796501346863
Cayman Islands,CYM,0.0518523083213736,2.0,5372.539131858141,98.0,4643310633.242533,22.991442074339,3.8782272167837846,67051555765.19023,60901.0,327193005.6692927,76241.91554180486,0.34479028761890707
Central African Republic,CAF,0.1181225375452719,2.0,526.5154211335213,98.0,1660579383.376128,21.898085586805582,54.24939807103643,363602419.45071214,4626251.0,2435792493.5343738,358.9422044248727,0.5773037083898979
Chad,TCD,0.1390203806172312,2.0,526.5154211335213,98.0,10802937650.303333,31.109433684775833,-8.27034424150493,3356824768.182118,14418149.5,7591378055.95857,749.2866782693621,0.6483073966084877
Channel Islands,CHI,0.22260073458433552,2.0,5372.539131858141,98.0,10091115223.532999,22.991442074339,3.8782272167837846,67051555765.19023,163090.0,876207407.0147443,61874.56871503718,0.34479028761890707
Chile,CHL,0.3397346627818097,11.02848418500698,2008.9060057088464,73.94887804575151,239896614745.03442,25.378765681431986,-3.508658426357961,60888435132.1209,17955910.0,36070629999.99999,13359.937167325726,0.35058752769821566
China,CHN,1.015340797928604,4.456832006045423,2205.647070601141,92.83521538409268,10697749731011.234,44.52937970678909,5.4860420873456945,4758931644749.769,1375860000.0,3034586747245.8545,7774.615448100852,0.3654806182257557
Colombia,COL,0.28641749113329,3.20481475088695,1458.632369040075,87.342846313447,289279233844.9902,23.888502976588853,5.401167677311655,69099641257.14331,46767684.5,68364162507.64807,6185.177362771685,0.4255855150051246
Comoros,COM,0.16903125607548744,2.0,526.5154211335213,98.0,960550590.3422095,14.420502826967562,13.311487609183862,138473353.8292611,719092.5,378613290.47145665,1335.8500709994748,0.5403601195890041
"Congo, Dem. Rep.",COD,0.12196682784241657,0.1068208798582317,446.41354231157544,51.6779070712411,36691300790.828995,20.875297267664468,-2.3102771717070283,7630619933.859113,79719386.5,35693239365.62176,460.1271155237905,0.567532761042546
"Congo, Rep.",COG,0.44423761801563344,0.0,837.6521591083465,69.24030169174613,12409086402.3062,64.81347096157933,18.99542973919116,8045836500.842142,5036730.5,4237860292.2062235,2464.01653976344,0.5360406560247717
Costa Rica,CRI,0.14280353510686963,24.218861091669265,1608.0081718042893,73.94013636698125,55447582535.641235,19.038439865825385,2.040115890080834,10554517981.816027,4792578.5,7721244687.614115,11568.692088695416,0.4048235519394061
